取材名,媒体名,公約内容
ナビ子AI予想【差枚プラス】★1 (0のつく日),ホールナビ,
ナイン×スロッター,パチンコ店長のホール攻略,
ドリスロ：全台系,dorislo,全台系に高設定が複数カ所投入
ドリスロ：ジャグラー,dorislo,ジャグラー系に高設定が複数台投入
ドリスロ：3台並び,dorislo,3台並びに高設定が複数カ所投入
ドキドキ取材(ゲッツ),ゲッツ!!,
ドキっと!レポート,アツ姫,
ドカ積みドリーム,スクープTV,パチンコ取材
トントンマン,DMMぱちタウン,8機種に1/2で設定456投入
トレジャーミッション,DMMぱちタウン,
トレジャーボックス,爆ガチ！,BOX単位で高設定が複数
トレジャーハント【numberｓ】,APチャンネル,
トリプルジャッジ,でちゃう！,
トリプルZ,でちゃう！,
デジャブレポート,爆ガチ！,高設定据置示唆
デカ取材,DMMぱちタウン,
テトスロ（でちゃう）,でちゃう,未調査
ツクヨミ,ジャンバリ.TV,
ツインズ スロット取材,ゲッツ!!,
ダブルスナイプ,アツ姫,
ダブジャクエスト(初),ダブルジャッジ,
ダブジャクエスト 初,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
ダブジャクエスト,Gooパチ,"装備のアイコンにそれぞれ対応した
　　　公約が存在"
ダブジャ,Gooパチ,機種やパネルや島単位での全台系
ダイナマイトスロット,スクープTV,HPに対象機種があるので要確認
タレント来店 ,不明,来店実践
タイガーハンター,アツ姫,
ゼブラ保留,ガチアン,
ズバパチミレニアム,あかだ主任のガチンコ…,
ズバスロ３０,あかだ主任のガチンコ…,
ズバスロA極,あかだ主任のガチンコ…,
ズバスロA,あかだ主任のガチンコ…,
ズバスロ,あかだ主任のガチンコ…,
ズキュン！デュオ,パチスロ必勝本,特定の末尾に高設定投入
スロ子&パチ子来店,スロパチステーション,
スロレポ 爆ガチ!,爆ガチ！,不明 知ってる人教えてください
スロマガ超ユーザーリサーチ,パチマガスロマガ,未調査
スロマガ超インパクト取材,パチマガスロマガ,全台系が少なくとも5機種は設置
スロパチ潜入取材結,スロパチステーション,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
スロパチ潜入取材光,スロパチステーション,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材メガテン,スロパチステーション,番長3と絆2がチャンス?3台並びも◎
スロパチ潜入取材 結,スロパチステーション,未調査
スロパチ潜入取材 光,スロパチステーション,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材 メガテン,スロパチステーション,"番長3,絆2に6台並びで設定56投入
　　　その他並びで3か所に高設定投入"
スロパチ潜入取材 トレジャー,スロパチステーション,特定の台番の末尾に105%以上
スロパチ潜入取材,スロパチステーション,"等価で10割,非等価で11,2割営業"
スロパチ広告,スロパチステーション,"5,6台並びの設定⑤⑥が複数個所
　　　(設置200台→3か所,400台→6か所）"
スロパチステーション潜入取材 光,スロパチステーション,
スロパチステーション潜入取材,スロパチステーション,
スロパチなごや嬢すみれ来店,その他取材・企画,
スロット日報潜入調査＆中山来店,スロット日報,不明 知ってる人教えてください
スロットss_G,PS-EMOTION,
スロットH,PS-EMOTION,
スロッタースロッター広告,パチンコ店長のホール攻略,未調査
スロッター×パチンカー 初開催,パチンコ店長のホール攻略,スロッター×2とパチンカー×2の同時開催
スロッター×パチンカー,パチンコ店長のホール攻略,スロッター×2とパチンカー×2の同時開催
スロッター×スロッター広告,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スロッター×スロッター6.5,パチンコ店長のホール攻略,
スロッター×スロッター 初開催,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スロッター×スロッター,パチンコ店長のホール攻略,4つの公約が存在。要HPチェック
スマートオフミー(初開催),オフミー,
スマートオフミー,オフミー,
スマスロリポート,ゲッツ!!,
スパジャッジ華王!!,スパ満開WEB,
スパジャッジ東海名物,スパ満開WEB,
スパジャッジM物語,スパ満開WEB,
スパジャッジ ガーベラレッド,スパ満開WEB,
スパジャッジ ガーベラピンク,スパ満開WEB,
スパジャッジ アンケート取材,スパ満開WEB,
スパジャッジ,スパ満開WEB,
スパジャグスパジャッジ!!,スパ満開WEB,
スパガールズ来店,スパ満開WEB,
スナイプ,アツ姫,特定の末尾に全台設定456投入
スナイパーズレポート(アメスロ),アメスロ,
スタレポNEO,ジャンバリ.TV,"3台設置以上の機種1機種以上に
　　　全台設定⑥投入"
スタレポ,ジャンバリ.TV,"4台以上設置機種に
　　　　全台設定6が複数投入"
スサノオ,ジャンバリ.TV,"スロ全体10％以上に設定456投入
　　　+3台以上1機種以上に全台設定456"
スゴろく！サンゴ,DMMぱちタウン,
スコーピオン取材 情熱の薔薇,DMMぱちタウン,
スコーピオン取材 八咫烏,DMMぱちタウン,
スコーピオン取材 マジ愛取材,DMMぱちタウン,未調査
スコーピオン取材 RISING SUN,DMMぱちタウン,
スコーピオン取材 REPO取材,DMMぱちタウン,未調査
スコーピオン取材 IMPERIAL BLUE,DMMぱちタウン,
スコーピオン取材 ArmStrong,DMMぱちタウン,未調査
スコーピオン取材 ALL ROUND取材,DMMぱちタウン,
スコーピオン取材 ALBATROSS TWIN,DMMぱちタウン,1機種(ツインは2機種)に設定全456
ジャンバリ魂,ジャンバリ.TV,未調査
ジャンバリ広告,ジャンバリ.TV,未調査
ジャッジメントS,アツ姫,
ジャッジメントP,アツ姫,
ジャックレポート,APチャンネル,
ジャックランタンOVER,アツ姫,
ジャックランタン,アツ姫,
ジャグレポ,スクープTV,ジャグラーシリーズが狙い目
ジャグペカッレポート,爆ガチ！,ジャグラーシリーズが狙い目
シーナ。(gooパチ),グーパチ,
シーサーペントOVER,アツ姫,
シーサーペント,アツ姫,
シーサ。オフミー取材,オフミー,
ジュラシック・レジェンドα,アツ姫,
サードライン,アツ姫,
サラマンダーZ,アツ姫,
サムライ乙女レポート 爆ガチ,アツ姫,戦国乙女示唆
サプライズスロッター,パチンコ店長のホール攻略,
ゴールデンオルトロス,アツ姫,"オルトロスが二日連続で開催
   　　公約もオルトロスと同じで
　　　全5.6機種2ヵ所になる"""
ゴールデン インフィニティー,ジャンバリ.TV,"6号機の各機種(3台以上設置)
　　　に1台以上設定④⑤⑥を投入"
ゴン予想（みんパチ）,パチンコ店長のホール攻略,未調査
コンプリート,日雇いホール,月一の集大成イベントの模様
コス×プレイ,DMMぱちタウン,
ゴルゴン,アツ姫,
ゲッツ!!サーティー,ゲッツ!!,
ゲッツ!!コラボ取材,ゲッツ!!,
ゲッツ!!エクストリームゲームス,ゲッツ!!,
グランドオープン 7日目,新装,グランドオープン
グランドオープン 6日目,新装,グランドオープン
グランドオープン 5日目,新装,グランドオープン
グランドオープン 4日目,新装,グランドオープン
グランドオープン 3日目,新装,グランドオープン
グランドオープン 2日目,新装,グランドオープン
グランドオープン 1日目,新装,グランドオープン
クロロスロッター,パチンコ店長のホール攻略,
ギャラクティカ,ニコナナ,不明
ギガヴェルデクス レポート,爆ガチ！,3台以上設置機種に3箇所設定56投入
ギガヒュドラ,アツ姫,3台以上機種に1台以上設定⑤⑥投入
ギガパチトロス,アツ姫,
ギガニャントロス,スクープTV,2台設置以上の3機種が全台設定56
ギガグリフォン,アツ姫,
ギガキマイラ,アツ姫,
ギガオロチ,ジャンバリ.TV,3台以上設置3機種以上に全台設定56
ギガオルトロス,アツ姫,3台以上設置機種に全台設定⑤⑥が3箇所
ガールズ来店,パチンコウォーカー,
ガンバレ30‼,DMMぱちタウン,
ガチレポフルハウス(紫),APチャンネル,
ガチレポスリーカード(黄),APチャンネル,
ガチレポスリーカード(紫),APチャンネル,
ガチレポクイーン,APチャンネル,
ガチレポキング,APチャンネル,
ガチレポエース(光),APチャンネル,
ガチプロたちの挽歌,パチマガスロマガ,来店実践
ガチスロ 乱れ咲き,リアルガチホール,
ガチスロ,リアルガチホール,
ガチアンケート虹色,ガチアン,
カンタ君入荷 必勝本,パチスロ必勝本,未調査
カリスマ取材,でちゃう！,
カチ盛りドリーム 初開催,スクープTV,"3台以上設置機種に
　　　全台設定6を1機種以上"
カチ盛りドリーム,スクープTV,"3台以上設置機種に
　　　全台設定6を1機種以上"
カチ盛りターゲット,スクープTV,"対象機種に設定6を1台以上投入
　　　※対象機種は要HP確認"
カグツチ,不明,不明 知ってる人教えてください
オーバー・ザ・トップ,ゲッツ!!,
オンリー１ホールレポート,爆ガチ！,不明 知ってる人教えてください
オルトロス,アツ姫,"3台以上設置の機種限定で
　　　全⑤⑥を2ヵ所以上"
オフミー開催(BBオフ会),オフミー,
オフミー開催 BBオフ会,オフミー,未調査
オフミー開催,オフミー,全４５６、全６など全台系の島が複数
オフミー取材,オフミー,全台形が数カ所入りやすい
オフミーガール 初開催,オフミー,未調査
オフミーガール,オフミー,来店実践
オクタゴン取材,でちゃう！,
エース小吉来店,その他取材・企画,
エースを狙え！,ゲッツ!!,
エンジェル来店,リーチエンジェル,来店
エンジェルジャッジ 初,Gooパチ,"全台系・バラ・並び・末尾・パネル
　　　　・機種末尾などから二つ以上"
エンジェルジャッジ,Gooパチ,"全台系・バラ・並び・末尾・パネル
　　　　・機種末尾などから二つ以上"
エンジェルボイス,アツ姫,
エリート漢気調査,名探偵ショウゴローの…,
エリアV,日雇いホール,バラエティ3台並びで高設定投入
エリアA,日雇いホルアド,Aタイプ機種に全台系
エニグマ 初開催,スクープTV,3台以上の2機種以上が設定⑤⑥
エニグマ,スクープTV,3台以上の2機種以上が設定⑤⑥
ウルトラリポート,ゲッツ!!,
ウシオフミー取材 初開催,オフミー,ウシオ×オフミー初開催
ウシオフミー 初開催,オフミー,ウシオ×オフミーコラボ
インパクト取材(パチマガスロマガじゃんじゃん),パチマガスロマガ,
インパクト取材 パチマガスロマガ,パチスロ必勝本,３台以上の機種で設定⑥×3箇所以上
アメスロ30レポート,アメスロ,
アマテラス,ジャンバリ.TV,"スロット設置台数の10%が
　　　設定4以上"
アニバーサリーレポート 爆ガチ,アツ姫,周年日示唆
アニバーサリージャック,アツ姫,
アナコンダ,アナコンダ,
アドリブスロパチンカー,パチンコ店長のホール攻略,
アドリブスロッター,パチンコ店長のホール攻略,
アツ姫編集部GO,アツ姫,
アツ姫独自取材 Q,アツ姫,未調査
アツ姫来店,アツ姫,
アツ姫GO,アツ姫,編集部が取材と称して来店する
れんじろう来店実践,スロパチステーション,パチンコ2BOXボーダー+2以上
よしき来店実践,スロパチステーション,"赤字営業(かなり強い)
　　　番長3が高設定が入りやすい"
ゆり姉来店,フリー,不明 知ってる人教えてください
ゆり姉実践,フリー,不明 知ってる人教えてください
もり田来店,その他取材・企画,
もも実践,Gooパチ,来店実践
もっくんのスロっちょ！,スクープTV,未調査
めなこ軍曹調査員,Gooパチ,Gooパチ調査員
めおしざこ来店,その他取材・企画,
まなみん来店,その他取材・企画,
ぷにまる来店,その他取材・企画,
ぱちレポA,APチャンネル,
ぱちレポ(アメスロ),アメスロ,
ぱちレポ 爆ガチ!,爆ガチ！,未調査
ぱちタウンタレント来店(MYME),DMMぱちタウン,
ぱちタウンエンジェルス,一撃✖️DMM,未調査
ぱちジャッジ 初,Gooパチ,不明 知ってる人教えてください
ぱちジャッジ,Gooパチ,未調査
ぱちんこインパクト取材,パチマガスロマガ,
ぱちまる襲来,スロパチステーション,パチンコ2BOXがボーダー＋2以上
ぱちまる応援地区,スロパチステーション,着ぐるみ来店なし
ぱちかす女子大生。まろ。来店,その他取材・企画,
はなれ技,パチンコウォーカー,
とれまる応援地区,スロパチステーション,着ぐるみ来店なし
とれまる×スロパチ取材 トレジャー,スロパチステーション,特定の台番の末尾に105%以上
とぅーでくすレポート,アメスロ,
でら真剣な意見を聞かせてくれ!,でちゃう！,
でら打ちたい台が固まっているか聞かせてくれ!,でちゃう！,
でらでら打ちたい台が固まっているか聞かせてくれ!,でちゃう！,
でちゃう編集部来店(髭原人),でちゃう！,
でちゃう編集部来店(電飾鼻男),でちゃう！,
でちゃう編集部来店(鈴木優梨),でちゃう！,
でちゃう編集部来店(サトシーニョ),でちゃう！,
でちゃう編集部来店(ほしまみ),でちゃう！,
でちゃう編集部来店(とこなっつ),でちゃう！,
でちゃう編集部来店(こしあん),でちゃう！,
でちゃう編集部来店(かおりん),でちゃう！,
でちゃう編集部来店(あんどりゅー),でちゃう！,
でちゃう編集部来店(あか姐),でちゃう！,
でちゃう来店ピスタチオ田中,でちゃう,来店実践
でちゃう来店 鈴木優梨,でちゃう,来店実践
でちゃう来店 葉月,でちゃう,来店実践
でちゃう来店 櫻井れな,でちゃう,来店実践
でちゃう来店 大原まい,でちゃう,来店実践
でちゃう来店 ピスタチオ田中,でちゃう,来店実践
でちゃう来店 ぽぽ,でちゃう,来店実践
でちゃう来店 こしあん,でちゃう,来店実践
でちゃう来店 GIN,でちゃう,来店実践
でちゃう!砲 第二弾,でちゃう！,
ちりめんじゃこ太さん来店,その他取材・企画,
ちゅんげーリサーチ 初,天草ヤスヲのちゅんげーリサーチ,未調査
ちゅんげーリサーチ,天草ヤスヲのちゅんげーリサーチ,"パネル,列,機種単位が全台系が複数"
ちゅんげー,天草ヤスヲのちゅんげーリサーチ,"パネル,列,機種単位が全台系が複数"
その日、最も盛り上がった光景を取材する,パチンコウォーカー,
その他来店,DMMぱちタウン,
すろかすドラマー来店,その他取材・企画,
じゃんじゃん来店実践×スロパチ取材光,スロパチステーション,"パチンコ2BOXがボーダー＋2以上
　　ジャグラーシリーズが全体出率102%以上"
じゃんじゃん来店実践,スロパチステーション,パチンコ2BOXがボーダー＋2以上
さくたまの夢と日常【収録】,ニコナナ,来店実践
こだわり分析(パチスロ),ななライズ,
かぼレポ,アツ姫,マジカルハロウィン示唆
かたまる応援地区,スロパチステーション,着ぐるみ来店なし
かたまる×スロパチ取材結,スロパチステーション,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
かたまる×スロパチ取材 結,スロパチステーション,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
かたまる×スロパチステーション潜入取材 結,スロパチステーション,
おゆん実践,Gooパチ,来店実践
おゆん,グーパチ,
おまちゃんねる,ネクストゾーン,
いそまる来店実践,スロパチステーション,赤字営業(バラエティに入りやすい)
いきなりヨースケ収録 ヨースケ,1GAME,未調査
あま照取材,アツ姫,
あつまる襲来,スロパチステーション,あつまるが来ると更に出率up
あつまる応援地区,スロパチステーション,"等価で10割,非等価で11,2割営業"
あつまる×スロパチ取材,スロパチステーション,"等価で10割,非等価で11,2割営業"
《SHOOTING》マシンガン,ジャンバリ.TV,5台以上の機種に全56を投入
《SHOOTING》バズーカ,ジャンバリ.TV,未調査
《SHOOTING》スリングショット,ジャンバリ.TV,
《SHOOTING》スナイパーライフル,ジャンバリ.TV,特定末尾番台に全④⑤⑥
《SHOOTING》ショットガン,ジャンバリ.TV,
《SHOOTING》グレネードボム,ジャンバリ.TV,
《SHOOTING》Wバズーカ,ジャンバリ.TV,"4台以上設置機種に全⑤⑥を
　　　2機種以上投入"
luckynumber,APチャンネル,
chiiips取材,ChiiiPS(チップス),
Zukyun!,パチスロ必勝本,"特定末尾に設定56が投入
　　　（等価の場合は設定456）"
Zukyun DUO,パチスロ必勝本,特定の末尾に高設定投入
ZEN 禅,パチスロ必勝本,3台以上の機種に全56あり
WORLDSTANDARD金version,アツ姫,
VIP,スクープTV,1/3以上が設定456
Tiger＆Dragon,APチャンネル,
TUR,アツ姫,
TSURANUKI,でちゃう！,
TRI,アツ姫,
THE新台入替,DMMぱちタウン,
THE K1NG of スクープ!,スクープTV,赤字営業
TARGET,一撃,Aタイプに一機種以上全台系
S級スロッター,ニコナナ,不明 知ってる人教えてください
SUPERフェニックス,アツ姫,スロット全体の10％が設定56
SPX,アツ姫,
SEASON！スパジャッジ取材!!,スパ満開WEB,
SCORPION取材,DMMぱちタウン,複数回に分けて数種類のイベントを開催
S-Bakyun!トレス,パチスロ必勝本,5台並びで設定456が複数箇所
S-Bakyun!,パチスロ必勝本,5台並びで設定456が複数箇所
Re:START取材,アツ姫,リゼロが対象の取材
REAL取材,DMMぱちタウン,不明 知ってる人教えてください
R30 ★★★★,ゼロノス,ジャグラーシリーズが狙い目の模様
R30 ★★,P-martTV,ジャグラー
P求道者取材,でちゃう！,
Pレミアム！スパジャッジ取材!!,スパ満開WEB,
PモンスターレコードSEASON2023,パチンコウォーカー,
Pでら真剣な意見を聞かせてくれ,でちゃう！,
Pでら固まっているか聞かせてくれ,でちゃう！,
P★1取材,ゲッツ!!,
PPP!スパジャッジ,スパ満開WEB,
PPP,アツ姫,
PNS,DMMぱちタウン,
PKP,APチャンネル,
PGAオープン,でちゃう！,
P-tube広告,P-martTV,未調査
NARABU無双,アツ姫,5台並びで設定56が2箇所
NARABU LEGEND,アツ姫,5台並びで設定56が3箇所
NARABU,アツ姫,5台並びで設定56が1箇所
MONSTER BALL,パチンコウォーカー,
Kの意思,アツ姫,
KOK,アツ姫,
KKK,アツ姫,
KING OF SLOT,アツ姫,
KING GOLDEN JACK,DMMぱちタウン,
JBメンバーズ来店,ジャンバリ.TV,誰が来るかは不明
JBメンバーズ・タレント来店,ジャンバリ.TV,未調査
IMCいむちゃんねる 収録予定,IMCいむちゃんねる,未調査
HiTension取材,でちゃう！,
HAHAHAHAレポート,ジャンバリ.TV,
H time,ゲッツ!!,
Gooパチジャッジ2nd,Gooパチ,機種単位で高設定台が複数
Gooパチ ジャッジ2nd 初,Gooパチ,機種単位で高設定台が複数
Gooパチ ジャッジ2nd,Gooパチ,機種単位で高設定台が複数
Gooパチ ジャッジ1st 初,Gooパチ,"6つの公約から3つを選択
　　　店全体機械割が100%以上"
Gooパチ ジャッジ1st,Gooパチ,"6つの公約から3つを選択
　　　店全体機械割が100%以上"
Get'sTV,ゲッツ!!,
GPM降臨,アツ姫,
GPL,アツ姫,"3台以上構成機種の3機種以上に全456
　　　+総台数の10％に設定6を投入
　　　+3台以上設置機種の1機種に全6
　　　+3か所に5台並びで設定全56"
GOTO神奈川 初開催,パチンコ店長のホール攻略,未調査
GOTO神奈川,パチンコ店長のホール攻略,未調査
GOTOオフミー 初開催,オフミー,未調査
GOTOオフミー,オフミー,
GOLDENAGE,アツ姫,
GOGOスロット,ジャンバリ.TV,ジャグラーが狙い目(公約なし)
GIANTPOWER,アツ姫,
FLASHジャックNEO,アツ姫,沖スロやジャグラーシリーズなどが狙い目
FLASHジャック,アツ姫,沖スロやジャグラーシリーズなどが狙い目
EPIC30リポート,ゲッツ!!,
Dynamite取材 覚醒取材,DMMぱちタウン,
Dynamite取材 暴走MISSION取材,DMMぱちタウン,
Dynamite取材 新基準RESEARCH,DMMぱちタウン,
Dynamite取材 撮りドキ取材,DMMぱちタウン,
Dynamite取材 乱舞取材,DMMぱちタウン,
Dynamite取材 シンクロ取材,DMMぱちタウン,
Dynamite取材 SPLASH取材,DMMぱちタウン,
Dynamite取材 CHANGE取材,DMMぱちタウン,
Dokyun!,パチスロ必勝本,未調査
Dokiレポ,スクープTV,沖ドキシリーズが狙い目
DiCE,パチスロ必勝本,"⑥台以上の設置機種から
　　　2機種以上がオール設定"
DUELSLOTTERS×PACHINKERS(パチンコ),DMMぱちタウン,
DUELSLOTTERS×PACHINKERS(パチ×スロ),DMMぱちタウン,
DMM番組収録,DMMぱちタウン,
CRS,アツ姫,
COMPLETE取材,アツ姫,
Bakyun!トレス,パチスロ必勝本,設定⑤⑥の3台並びが5箇所以上
Bakyun!スケールX,パチスロ必勝本,5台並びで10か所に全⑤⑥
Bakyun!スケールO,パチスロ必勝本,"台番号5台以上並びで
　　　　高設定が8箇所以上"
Bakyun!スケールL,パチスロ必勝本,5台並びで7〜8箇所が全④⑤⑥
Bakyun!&,パチスロ必勝本,"５台以上並びで設定６が
　　　２ヵ所以上設置(台数で変化)"
Bakyun!,パチスロ必勝本,"５台以上並びで設定６が
　　　２ヵ所以上設置(台数で変化)"
BUZZ! 関東,パチスロ必勝本,半6が4機種
BUZZ!,パチスロ必勝本,半6が4機種
BURST,スクープTV,設定⑤⑥が5台並び 設置2箇所以上
BRAND-NEWSLOT,アツ姫,
BASHFIGHT,BASHtv,未調査
BASH QUEST,BASHtv,4台設置機種に二箇所
BASH COMBO,スクープTV,前日高設定の据置き
Aプロジェクト,ジャンバリ.TV,Aタイプコーナー対象
Amy取材でちゃう,でちゃう,未調査
Amy取材 でちゃう,でちゃう,未調査
AceOVER,アツ姫,
APチャンネル来店収録,APチャンネル,
APチャンネル来店,APチャンネル,
1日回胴録ハンチョウ石神収録 ガット石神,1GAME,来店実践
1Punch取材,アツ姫,
